,Year,SUP_QUEMADA,IN_NASA,OUT_NASA,IN_ACFCD,OUT_ACFCD,IN_OCD,OUT_OCD
0,2002.0,1034.82835115097,369.2720660695808,204.38516718726055,231.45793051817762,34.23628086193523,274.7050684772951,66.96594852075867
1,2003.0,9025.960529285585,5233.863633157759,1498.7214643112911,6666.8443424114175,536.6200017872179,7138.076380765024,802.6349729176163
2,2004.0,715.2275258184851,428.7426029601247,167.00490087315586,427.9782393710472,93.9224213736099,464.0827935873495,168.46216357023258
3,2005.0,4415.053711815942,2590.555243024827,1105.6416219596113,3283.400210883114,635.3735774238639,3483.7787293454658,1038.7580865131204
4,2006.0,2924.2602031624747,1677.1442525585996,355.85280226140026,1669.8298339807081,96.52823060788114,1825.9368139790574,210.79544832283727
5,2007.0,1214.5722191799618,469.651475570584,282.3997881132917,675.0219223571368,151.02669038091437,721.5834656551303,215.9912209053581
6,2008.0,335.2805970903415,60.61879171744399,84.0696630584992,0.0,83.48466377831721,0.0,213.87000076513178
7,2009.0,2833.7422610475123,1513.7949656211165,568.4540251486321,799.6516207310002,86.9236705366593,998.030232230642,474.4077639181685
8,2010.0,476.4532233081726,29.810081184783975,16.255093891116047,59.93929975216441,27.245850176298582,86.47076224255144,70.68936354655798
9,2011.0,807.665884787581,166.0327886188628,97.0762696011812,331.6147120552563,75.7841981952783,363.0301565896379,112.01026038579857
10,2012.0,14258.229097698519,10869.446364778409,3513.1121087422434,8900.155140990733,793.104350355814,10739.52980201539,1211.0184438019587
11,2013.0,793.0914774674802,94.07179474904737,20.7046109831208,267.1695108971933,60.10501162914551,350.96544084000027,117.02302213414373
12,2014.0,1366.341666644705,825.2569516903106,523.0766867470511,879.6981664915604,82.81805995382217,945.1834270973751,127.70503309136222
13,2015.0,1360.3019731732882,697.4189459723788,125.96577856868646,842.2280392409526,114.46402872651163,866.2057389751429,239.62673508003002
14,2016.0,1656.035493490739,318.8529252461471,256.7824105566802,374.45399977277924,50.32006318952347,506.1266763416163,184.37297112697115
15,2017.0,929.7782905767417,152.10959099049964,303.78680968232027,204.14081005426533,33.12680691131979,266.6132790606814,157.6600814383703
